"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C17,C19","47uF","~","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder","3",""
"C3,C5","22pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C4,C6,C8,C9,C16,C18,C20,C23","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8",""
"DID1","1N4148WS","https://www.vishay.com/docs/85751/1n4148ws.pdf","Gotek:SODFL2512X90N","1",""
"J4","M20-8760542P","https://cdn.harwin.com/pdfs/M20-876P.pdf","Gotek:HUSSP10W64P254_2X5_1270X500X1043P","1",""
"J5","M20-8760442","https://cdn.harwin.com/pdfs/M20-876.pdf","Gotek:M208760442","1",""
"J7","OLED","~","Gotek:610106249121","1",""
"J8","RotaryEncoder","~","Gotek:610106249121","1",""
"L3,L4","LED GREEN","~","Gotek:APT2012PGW","2",""
"L5","LED RED","https://docs.broadcom.com/doc/AV02-0975EN","Gotek:HSMCC177","1",""
"MO1","Conn_01x03_Pin","https://cdn.harwin.com/pdfs/M20-890.pdf","Gotek:M208900705","1",""
"P1","2005280260","2005280260","Gotek:MOLEX_CON_2005280260","1",""
"P3","USB_A","https://gct.co/files/drawings/usb1046.pdf?v=ccb5d20d-0631-4297-aa3c-9c34fccf9fbc","Gotek:USB1046GF0190LBA","1",""
"PU1,PU2,PU3,PU4,PU5,PU6,PU7,PU8,PU9,PU10,PU11,PU12,PU13,PU14,R20,R21,RN1,RN2,RN3,RN4,RN5,RN6","1K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","22",""
"Q1,Q2,Q3,Q4,Q5,Q6","PMBT2222A,215","https://assets.nexperia.com/documents/data-sheet/PMBT2222A.pdf","Gotek:SOT95P280X130-3N","6",""
"R1,R2","22R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R10,R13","4K7","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"S3,S4","SKRTLAE010","https://tech.alpsalpine.com/e/products/detail/SKRTLAE010/","Gotek:SKRTLAE010","2",""
"U1","74AHC04","https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT04.pdf","Package_SO:SO-14_3.9x8.65mm_P1.27mm","1",""
"U3","AT32F435RGT7","","Gotek:QFP50P1200X1200X160-64N","1",""
"U4","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Gotek:SOT229P700X180-4N","1",""
"U8","SST25VF016B-50-4C-S2AF","https://ww1.microchip.com/downloads/en/DeviceDoc/20005044C.pdf","Gotek:SOIC127P790X216-8N","1",""
"Y1","8Mhz","https://componentsearchengine.com/Datasheets/1/LFXTAL050985Bulk.pdf","Gotek:LFXTAL050985Bulk","1",""
